Player,Opponent,Salary,Pts
Alexander Zverev,Pedro Martinez,11200,75.36
Carlos Alcaraz,Yoshihito Nishioka,11000,74.81
Coco Gauff,Jodie Burrage,11300,72.68
Novak Djokovic,Jaime Faria,11100,72.53
Jiri Lehecka,Hugo Gaston,10800,68.88
Ugo Humbert,Hady Habib,10500,67.15
Paula Badosa,Talia Gibson,10600,66.52
Leylah Annie Fernandez,Cristina Bucsa,10200,63.63
Sebastian Korda,Aleksandar Vukic,9500,63.28
Arthur Fils,Quentin Halys,9700,62.74
Felix Auger-Aliassime,Alejandro Davidovich Fokina,9200,62.55
Donna Vekic,Harriet Dart,9800,61.33
Benjamin Bonzi,Francesco Passaro,9300,59.37
Diana Shnaider,Ajla Tomljanovic,9600,58.65
Tommy Paul,Kei Nishikori,8600,57.03
Karolina Muchova,Naomi Osaka,8900,55.91
Marta Kostyuk,Jule Niemeier,8800,54.71
Jack Draper,Thanasi Kokkinakis,8700,54.59
Jacob Fearnley,Arthur Cazaux,7500,51.84
Roberto Carballes Baena,James Duckworth,7400,48.83
Casper Ruud,Jakub Mensik,7800,48.66
Nuno Borges,Jordan Thompson,6500,47.8
Jordan Thompson,Nuno Borges,7600,47.18
Anastasia Pavlyuchenkova,Anastasia Potapova,7200,46.9
James Duckworth,Roberto Carballes Baena,6700,45.42
Jakub Mensik,Casper Ruud,6400,45.25
Thanasi Kokkinakis,Jack Draper,5800,42.58
Arthur Cazaux,Jacob Fearnley,6600,41.87
Anastasia Potapova,Anastasia Pavlyuchenkova,6900,41.16
Kei Nishikori,Tommy Paul,5900,36.24
Naomi Osaka,Karolina Muchova,5600,35.2
Francesco Passaro,Benjamin Bonzi,5400,34.24
Jule Niemeier,Marta Kostyuk,5700,32.64
Aleksandar Vukic,Sebastian Korda,5300,32.38
Quentin Halys,Arthur Fils,5000,31.2
Alejandro Davidovich Fokina,Felix Auger-Aliassime,5500,31.14
Ajla Tomljanovic,Diana Shnaider,5200,30.18
Harriet Dart,Donna Vekic,4900,26.54
Hady Habib,Ugo Humbert,4400,26.48
Cristina Bucsa,Leylah Annie Fernandez,4700,24.11
Talia Gibson,Paula Badosa,4300,23.22
Hugo Gaston,Jiri Lehecka,4100,22.96
Jaime Faria,Novak Djokovic,3700,19.35
Yoshihito Nishioka,Carlos Alcaraz,3900,16.92
Jodie Burrage,Coco Gauff,3500,15.51
Pedro Martinez,Alexander Zverev,3600,14.7
